Sample	Fws
PC0065-C	0.8772946
PC0066-C	0.9940765
PC0067-C	0.9989283
PC0068-C	0.98468804
PC0069-C	0.99685425
PC0070-C	1.0
PC0071-C	0.8645199
PC0073-C	0.9997551
PC0074-C	0.8495238
PC0075-C	0.99600196
PC0077-C	0.99932927
PC0078-C	0.74249136
PC0079-C	0.99860644
PC0085-C	0.5579594
PC0097-C	0.99983585
PC0103-C	0.9902839
PC0104-C	0.99861306
PC0107-C	0.9971717
PC0113-C	0.5897284
PC0118-C	0.900538
PC0122-C	0.99959975
PC0167-C	0.7672639
PC0169-C	0.5800575
PC0170-C	0.57817286
PC0172-C	0.5863314
PC0173-C	0.9970482
PC0174-C	0.73857915
PC0178-C	0.6771082
PC0180-C	0.51910347
PC0183-C	0.9994535
PC0184-C	0.99880946
PC0186-C	0.99845916
PC0187-C	0.34631476
PC0188-C	0.6184489
PC0189-C	0.42119032
PC0191-C	0.9994728
PC0193-C	0.9685033
PC0197-C	0.99867797
PC0198-C	0.9991153
PC0199-C	0.9316696
PC0200-C	0.61455035
PC0201-C	0.92369276
PC0202-C	0.4638369
PC0206-C	0.9977065
PC0208-C	0.9969485
PC0209-C	0.6635207
PC0213-C	0.42448515
PC0220-C	0.7215728
PC0229-C	0.47203684
PC0231-C	0.8775515
PC0232-C	0.43696606
PC0233-C	0.47289068
PC0236-C	0.5234042
PC0245-C	0.99899274
PC0246-C	0.62154627
PC0252-C	0.60733235
PC0254-C	0.5611297
PC0255-C	0.99801487
PC0256-C	0.37351826
PC0257-C	0.30864352
PC0258-C	0.54223156
PC0259-C	0.9999583
PC0262-C	0.45378536
PC0263-C	0.50387025
PC0265-C	0.20989971
PC0268-C	0.781248
PC0269-C	0.52041197
PC0273-C	0.8056205
PC0276-C	0.60496837
PC0277-C	0.98482966
PC0278-C	0.7823459
PC0282-C	0.99562997
PC0287-C	0.9879153
PC0288-C	0.7124665
PC0293-C	0.6050085
PC0295-C	0.45132327
PC0296-C	0.73861045
PC0301-C	0.9998944
PC0302-C	0.9777549
PC0305-C	0.64246935
PC0311-C	0.99613255
PC0314-C	0.9973739
PC0337-C	0.98980415
PC0352-C	0.5944096
PC4008-C	0.5325142
PC4009-C	0.9993486
PC4010-C	0.9970919
PC4011-C	0.978295
PC4013-C	0.9983835
PC4014-C	0.73614603
PC4015-C	0.9971499
PC4016-C	0.9995308
PC4018-C	0.99256694
PC4019-C	0.9904216
PC4021-C	0.6380133
PC4024-C	0.7409904
PC4025-C	0.9843228
PC4026-C	0.43110275
PC4027-C	0.32304293
PC4028-C	0.5079513
PC4030-C	0.4312162
PC4031-C	0.30203614
PC4032-C	0.57906425
PC4033-C	0.54792774
PC4034-C	0.87591153
PC4035-C	0.9975298
PC4036-C	0.9621224
PC4037-C	0.99680334
PC4038-C	0.99591565
PC4039-C	0.2990867
PC4040-C	0.58630204
PC4041-C	0.40341306
PC4042-C	0.79671246
PC4043-C	0.9968368
PC4044-C	0.9982038
PC4045-C	0.843954
PC4046-C	0.9964438
PC4047-C	0.96404386
PC4048-C	0.37898076
PC4049-C	0.9493415
PC4050-C	0.7292455
PC4051-C	0.95133585
PC4052-C	0.9974359
PC4054-C	0.4286508
PC4055-C	0.9934147
PC4056-C	0.7297234
PC4060-C	0.9976468
PC4061-C	0.99882305
PC4062-C	0.65650195
PC4066-C	0.7811908
PC4068-C	0.67385536
PC4074-C	0.6081758
PC4079-C	0.39740726
PC4083-C	0.99729955
PC4084-C	0.624313
PC4085-C	0.58694816
PC4086-C	0.95308536
PC4088-C	0.9685394
PC4095-C	0.48036665
PC4098-C	0.9275608
PC4104-C	0.7167824
PC4114-C	0.9432424
PC4116-C	0.99694026
PC4117-C	0.99342513
