Sample	Fws
PA0226-C	0.9914656999999999
PA0227-C	0.541712
PA0229-C	0.9911255999999999
PA0230-C	0.41417992
PA0231-C	0.25479004
PA0232-C	0.99029076
PA0233-C	0.17374821
PA0234-C	0.37886056
PA0237-C	0.9926339
PA0238-C	0.99864644
PA0239-C	0.25284907
PA0240-C	0.99448955
PA0243-C	0.33320093
PA0245-C	0.98743874
PA0246-C	0.7857746999999999
PA0249-C	0.32839513
PA0251-C	0.7575135000000001
PA0253-C	0.36585915
PA0254-C	0.9869808000000001
PA0255-C	0.337546
PA0256-C	0.9949508
PA0257-C	0.24096675
PA0260-C	0.9542796999999998
PA0261-C	0.99010897
PA0262-C	0.9957130999999999
PA0263-C	0.526012
PA0266-C	0.46032038
PA0267-C	0.86531603
PA0268-C	0.9397879000000001
PA0270-C	0.99063164
PA0281-CW	0.5872073
PA0283-CW	0.8836311
PA0284-CW	0.8026521
PA0290-C	0.27048194
PA0291-CW	0.564253
PA0294-CW	0.8490733
PA0295-CW	0.9946043999999999
PA0297-CW	0.94646454
PA0298-C	0.634796
PA0299-CW	0.99774
PA0300-C	0.40704295
PA0302-C	0.9857976
PA0303-CW	0.8610264999999999
PA0305-CW	0.69973606
PA0306-CW	0.7365783
PA0307-CW	0.98781085
PA0312-CW	0.99355423
PA0313-CW	0.85643053
PA0318-CW	0.9735363000000001
PA0321-CW	0.85187495
PA0325-CW	0.5103898
PA0329-CW	0.9680187
PA0330-CW	0.96896684
PA0331-CW	0.9701823
PA0332-CW	0.99659127
PA0334-CW	0.68146646
PA0337-C	0.96885365
PA0341-C	0.7541729
PA0342-CW	0.51658595
PA0344-CW	0.5556035
PA0345-CW	0.9879522
PA0346-CW	0.9861923
PA0347-CW	0.96290445
PA0349-C	0.99582666
PA0350-CW	0.8023295
PA0357-CW	0.8249927
PA0363-CW	0.86237866
PA0370-C	0.81765974
PA0371-C	0.9992257999999999
PA0372-C	0.7539015
PA0373-C	0.7139199
PA0374-C	0.99328923
PA0375-C	0.47540554
PA0376-C	0.98516977
PA0377-C	0.9897406999999999
PA0378-C	0.63678557
PA0379-C	0.99585974
PA0382-C	0.75257003
PA0383-C	0.9888200999999999
PA0384-C	0.999027
PA0387-C	0.9989109
PA0388-C	0.9848579
PA0389-C	0.87605727
PA0391-C	0.9859386999999998
PA0392-C	0.98253614
PA0393-C	0.9890722
PA0394-C	0.9162974
PA0395-C	0.9851443999999999
PA0396-C	0.997281
PA0397-C	0.6516415
PA0398-C	0.99951136
PA0399-C	0.4650287
PA0400-C	0.9972573
PA0401-C	0.99736327
PA0402-C	0.9914389000000001
PA0403-C	0.9911141
PA0404-C	0.49470020000000003
PA0405-C	0.9619601999999999
PA0406-C	0.9790406999999999
PA0407-C	0.9930534
PA0409-C	0.99192166
PA0411-C	0.9864203000000001
PA0413-C	0.9871744
PA0414-C	0.9854539000000001
PA0417-C	0.9984361999999999
PA0419-C	0.99689865
PA0423-C	0.988491
PA0424-C	0.98951006
PA0425-C	0.7379639
PA0431-C	0.99776864
PA0439-C	0.85385543
PA0440-C	0.99187607
PA0441-C	0.990981
PA0443-C	0.7995043000000001
PA0444-C	0.99258274
PA0445-C	0.8836905
PA0447-C	0.49596239999999997
PA0449-C	0.98886496
PA0450-C	0.98668814
PA0453-C	0.76848525
PA0454-C	0.95787096
PA0455-C	0.74847156
PA0456-C	0.98850125
PA0457-C	0.988293
PA0458-C	0.5535446999999999
PA0459-C	0.9929546
PA0460-C	0.7291353
PA0461-C	0.7577803000000001
PA0462-C	0.94318634
PA0464-C	0.77725494
PA0467-C	0.48560986
PA0468-C	0.9469665999999999
PA0469-C	0.60441273
PA0470-C	0.98700756
PA0471-C	0.99692845
PA0472-C	0.9888495999999999
PA0473-C	0.7149249
PA0474-C	0.5692261
PA0478-C	0.9775359
PA0479-C	0.9972759
PA0480-C	0.9923542999999999
PA0482-C	0.6904373
PA0484-C	0.7670811
PA0486-C	0.3533045
PA0488-C	0.7707495
PA0490-C	0.5206334
PA0491-C	0.9793688
PA0494-C	0.51471865
PA0496-C	0.6490836
PA0497-C	0.5449109000000001
PA0500-C	0.7096635
PA0502-C	0.97758704
PA0505-C	0.32436296
PA0506-C	0.84490234
PA0507-C	0.8326756
PA0513-C	0.74870956
PA0516-C	0.98162055
PA0520-C	0.98694545
PA0521-C	0.43144032
PA0522-C	0.9962409
PA0524-C	0.64673704
PA0532-C	0.98402137
PA0534-C	0.42389137
PA0537-C	0.99151665
PA0540-C	0.9976790000000001
PA0541-C	0.60830283
PA0542-C	0.8183446
PA0544-C	0.84634763
PA0550-C	0.9868457
PA0551-C	0.98728263
PA0554-C	0.98755026
PA0558-C	0.9917888000000001
PA0561-C	0.9864125
PA0562-C	0.9857627
PA0563-C	0.98738235
PA0564-C	0.7154881999999999
PA0572-C	0.9884502000000001
PA0575-C	0.99234825
PA0576-C	0.8920011999999998
PA0577-C	0.992559
PA0586-C	0.9893721
PA0597-C	0.78869474
PA0599-C	0.9937630999999999
PA0604-C	0.85823184
PA0611-C	0.98767996
PA0617-C	0.9879687
PA0618-C	0.99778384
PA0619-C	0.43924719999999995
PA0620-C	0.47494495
PA0621-C	0.995868
PA0622-C	0.9948986999999999
PA0623-C	0.6893654
PA0625-C	0.7100635999999999
PA0626-C	0.9894122
PA0627-C	0.8278191999999999
PA0628-C	0.67561746
PA0629-C	0.6351399999999999
PA0630-C	0.98835766
PA0631-C	0.90303224
PA0633-C	0.9956934000000001
PA0634-C	0.99655783
PA0636-C	0.56629485
PA0637-C	0.7108936
PA0638-C	0.66793275
PA0639-C	0.9878959
PA0641-C	0.5996609
PA0642-C	0.9887445
PA0643-C	0.9884784
PA0645-C	0.8177284
PA0649-C	0.98722774
PA0654-C	0.98941576
PA0655-C	0.9972382
PA0699-CW	0.99327856
PC0001-C	0.7882974
PC0003-02	0.99832606
PC0004-01	0.9932322
PC0005-Cx	0.99379927
PC0007-C	0.99627984
PC0008-01	0.8970014000000001
PC0009-C	0.99089706
PC0011-C	0.99669677
PC0012-C	0.80400753
PC0013-C	0.7953071
PC0019-C	0.9975581
PC0023-C	0.9912801
PC0026-C	0.99220246
PC0030-C	0.7780746999999999
PC0031-C	0.9974654000000001
PC0032-C	0.99663323
PC0033-C	0.97755194
PC0044-C	0.99302256
PC0046-C	0.9968423000000001
PC0047-C	0.99057114
PC0051-C	0.9975189
PC0053-C	0.9896332
PC0054-C	0.998186
PC0057-C	0.99144894
PC0058-C	0.92806506
PC0061-C	0.74209964
PC0063-C	0.9949945
PC0064-C	0.9500078000000002
PC0065-C	0.880892
PC0066-C	0.9846617
PC0067-C	0.9912036
PC0068-C	0.9822405999999999
PC0069-C	0.98885083
PC0070-C	0.9990154
PC0071-C	0.8550504000000001
PC0073-C	0.99753207
PC0074-C	0.85035956
PC0075-C	0.9916778
PC0077-C	0.9942247999999999
PC0078-C	0.7476374
